Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,IWH,IWD,IWA,WHH,WHD,WHA,Season,MatchDayOfWeek,MatchMonth,HomeElo,AwayElo,HomeTeamGoalsCurrentSeason,AwayTeamGoalsCurrentSeason,HomeTeamGoalsConcededCurrentSeason,AwayTeamGoalsConcededCurrentSeason,HomeWinRateHistorical,AwayWinRateHistorical,HomeWinRateSeason,AwayWinRateSeason,HeadToHeadMatches,HeadToHeadHomeWinRate,HeadToHeadAwayWinRate,HeadToHeadHomeGoals,HeadToHeadAwayGoals,HomeGoalsLast5Matches,AwayGoalsLast5Matches,HomeWinningStreakCurrentSeason,AwayWinningStreakCurrentSeason,HomeLosingStreakCurrentSeason,AwayLosingStreakCurrentSeason,OddsRatioHomeAwayB365,OddsRatioHomeAwayIWD,OddsRatioHomeAwayWH,HomeTeam_Ajaccio,HomeTeam_Ajaccio GFCO,HomeTeam_Amiens,HomeTeam_Angers,HomeTeam_Arles,HomeTeam_Auxerre,HomeTeam_Bastia,HomeTeam_Bordeaux,HomeTeam_Boulogne,HomeTeam_Brest,HomeTeam_Caen,HomeTeam_Clermont,HomeTeam_Dijon,HomeTeam_Evian Thonon Gaillard,HomeTeam_Grenoble,HomeTeam_Guingamp,HomeTeam_Le Havre,HomeTeam_Le Mans,HomeTeam_Lens,HomeTeam_Lille,HomeTeam_Lorient,HomeTeam_Lyon,HomeTeam_Marseille,HomeTeam_Metz,HomeTeam_Monaco,HomeTeam_Montpellier,HomeTeam_Nancy,HomeTeam_Nantes,HomeTeam_Nice,HomeTeam_Nimes,HomeTeam_Paris SG,HomeTeam_Reims,HomeTeam_Rennes,HomeTeam_Sochaux,HomeTeam_St Etienne,HomeTeam_Strasbourg,HomeTeam_Toulouse,HomeTeam_Troyes,HomeTeam_Valenciennes,AwayTeam_Ajaccio,AwayTeam_Ajaccio GFCO,AwayTeam_Amiens,AwayTeam_Angers,AwayTeam_Arles,AwayTeam_Auxerre,AwayTeam_Bastia,AwayTeam_Bordeaux,AwayTeam_Boulogne,AwayTeam_Brest,AwayTeam_Caen,AwayTeam_Clermont,AwayTeam_Dijon,AwayTeam_Evian Thonon Gaillard,AwayTeam_Grenoble,AwayTeam_Guingamp,AwayTeam_Le Havre,AwayTeam_Le Mans,AwayTeam_Lens,AwayTeam_Lille,AwayTeam_Lorient,AwayTeam_Lyon,AwayTeam_Marseille,AwayTeam_Metz,AwayTeam_Monaco,AwayTeam_Montpellier,AwayTeam_Nancy,AwayTeam_Nantes,AwayTeam_Nice,AwayTeam_Nimes,AwayTeam_Paris SG,AwayTeam_Reims,AwayTeam_Rennes,AwayTeam_Sochaux,AwayTeam_St Etienne,AwayTeam_Strasbourg,AwayTeam_Toulouse,AwayTeam_Troyes,AwayTeam_Valenciennes
2007-08-04,Bordeaux,Lens,1,0,2,1,0,2,13,4,21,19,4,4,3,2,0,1,2.2,2.87,3.6,2.1,2.8,3.5,2.15,3.25,3.4,1.0,5,8,1500.0,1500.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.6111111111111112,0.6,0.6323529411764706,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-04,Caen,Nice,1,0,2,0,0,1,16,14,17,15,2,3,1,1,0,0,2.4,2.75,3.0,2.3,2.8,3.1,2.15,3.25,3.4,1.0,5,8,1500.0,1500.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.7999999999999999,0.7419354838709676,0.6323529411764706,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2007-08-04,Lille,Lorient,0,0,1,0,0,1,6,5,26,19,2,2,1,1,0,0,1.72,3.0,5.0,1.7,3.2,4.7,2.15,3.25,3.4,1.0,5,8,1500.0,1500.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.344,0.36170212765957444,0.6323529411764706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-04,Monaco,St Etienne,1,1,1,1,0,2,16,19,3,3,5,6,3,3,0,0,1.9,2.9,4.0,1.85,3.0,4.2,2.15,3.25,3.4,1.0,5,8,1500.0,1500.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.475,0.44047619047619047,0.6323529411764706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2007-08-04,Paris SG,Sochaux,0,0,1,0,0,1,11,8,13,17,5,9,2,1,0,0,1.72,3.4,5.0,1.75,3.1,4.5,2.15,3.25,3.4,1.0,5,8,1500.0,1500.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.344,0.3888888888888889,0.6323529411764706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007-08-04,Rennes,Nancy,0,2,0,0,2,0,14,9,15,12,6,4,1,0,0,0,1.72,3.2,4.5,1.8,3.1,4.2,2.15,3.25,3.4,1.0,5,8,1500.0,1500.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.38222222222222224,0.42857142857142855,0.6323529411764706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-04,Strasbourg,Marseille,0,0,1,0,0,1,12,12,17,11,6,5,2,4,0,0,3.5,2.87,2.25,3.0,2.9,2.3,2.15,3.25,3.4,1.0,5,8,1500.0,1500.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1.5555555555555556,1.3043478260869565,0.6323529411764706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-04,Valenciennes,Toulouse,3,1,2,2,1,2,9,7,0,0,2,4,0,0,0,0,2.62,2.75,2.75,2.7,2.8,2.7,2.15,3.25,3.4,1.0,5,8,1500.0,1500.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.9527272727272728,1.0,0.6323529411764706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2007-08-05,Le Mans,Metz,1,0,2,1,0,2,10,6,16,13,4,4,2,2,0,0,2.05,3.0,4.0,2.0,2.9,3.7,2.15,3.25,3.4,1.0,6,8,1500.0,1500.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.5125,0.5405405405405405,0.6323529411764706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-05,Lyon,Auxerre,2,0,2,1,0,2,16,9,16,15,9,3,0,0,0,0,1.4,4.33,7.5,1.4,3.7,7.5,2.15,3.25,3.4,1.0,6,8,1500.0,1500.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.18666666666666665,0.18666666666666665,0.6323529411764706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
