Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,IWH,IWD,IWA,WHH,WHD,WHA,Season,MatchDayOfWeek,MatchMonth,HomeElo,AwayElo,HomeTeamGoalsCurrentSeason,AwayTeamGoalsCurrentSeason,HomeTeamGoalsConcededCurrentSeason,AwayTeamGoalsConcededCurrentSeason,HomeWinRateHistorical,AwayWinRateHistorical,HomeWinRateSeason,AwayWinRateSeason,HeadToHeadMatches,HeadToHeadHomeWinRate,HeadToHeadAwayWinRate,HeadToHeadHomeGoals,HeadToHeadAwayGoals,HomeGoalsLast5Matches,AwayGoalsLast5Matches,HomeWinningStreakCurrentSeason,AwayWinningStreakCurrentSeason,HomeLosingStreakCurrentSeason,AwayLosingStreakCurrentSeason,OddsRatioHomeAwayB365,OddsRatioHomeAwayIWD,OddsRatioHomeAwayWH,HomeTeam_Arsenal,HomeTeam_Aston Villa,HomeTeam_Birmingham,HomeTeam_Blackburn,HomeTeam_Blackpool,HomeTeam_Bolton,HomeTeam_Bournemouth,HomeTeam_Brentford,HomeTeam_Brighton,HomeTeam_Burnley,HomeTeam_Cardiff,HomeTeam_Charlton,HomeTeam_Chelsea,HomeTeam_Crystal Palace,HomeTeam_Derby,HomeTeam_Everton,HomeTeam_Fulham,HomeTeam_Huddersfield,HomeTeam_Hull,HomeTeam_Leeds,HomeTeam_Leicester,HomeTeam_Liverpool,HomeTeam_Luton,HomeTeam_Man City,HomeTeam_Man United,HomeTeam_Middlesbrough,HomeTeam_Newcastle,HomeTeam_Norwich,HomeTeam_Nott'm Forest,HomeTeam_Portsmouth,HomeTeam_QPR,HomeTeam_Reading,HomeTeam_Sheffield United,HomeTeam_Southampton,HomeTeam_Stoke,HomeTeam_Sunderland,HomeTeam_Swansea,HomeTeam_Tottenham,HomeTeam_Watford,HomeTeam_West Brom,HomeTeam_West Ham,HomeTeam_Wigan,HomeTeam_Wolves,AwayTeam_Arsenal,AwayTeam_Aston Villa,AwayTeam_Birmingham,AwayTeam_Blackburn,AwayTeam_Blackpool,AwayTeam_Bolton,AwayTeam_Bournemouth,AwayTeam_Brentford,AwayTeam_Brighton,AwayTeam_Burnley,AwayTeam_Cardiff,AwayTeam_Charlton,AwayTeam_Chelsea,AwayTeam_Crystal Palace,AwayTeam_Derby,AwayTeam_Everton,AwayTeam_Fulham,AwayTeam_Huddersfield,AwayTeam_Hull,AwayTeam_Leeds,AwayTeam_Leicester,AwayTeam_Liverpool,AwayTeam_Luton,AwayTeam_Man City,AwayTeam_Man United,AwayTeam_Middlesbrough,AwayTeam_Newcastle,AwayTeam_Norwich,AwayTeam_Nott'm Forest,AwayTeam_Portsmouth,AwayTeam_QPR,AwayTeam_Reading,AwayTeam_Sheffield United,AwayTeam_Southampton,AwayTeam_Stoke,AwayTeam_Sunderland,AwayTeam_Swansea,AwayTeam_Tottenham,AwayTeam_Watford,AwayTeam_West Brom,AwayTeam_West Ham,AwayTeam_Wigan,AwayTeam_Wolves
2003-08-16,Arsenal,Everton,2,1,2,1,0,2,11,13,8,15,6,9,1,3,1,1,1.4,3.8,8.0,1.35,4.0,7.0,1.28,4.5,8.0,1,5,8,1500.0,1500.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.175,0.19285714285714287,0.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-08-16,Birmingham,Tottenham,1,0,2,1,0,2,10,15,20,27,1,4,3,5,0,0,2.375,3.25,2.75,2.5,3.0,2.5,2.2,3.2,2.8,1,5,8,1500.0,1500.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.8636363636363636,1.0,0.7857142857142858,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2003-08-16,Blackburn,Wolves,5,1,2,2,0,2,25,8,8,14,6,2,1,1,0,0,1.615,3.4,5.5,1.7,3.2,4.2,1.57,3.5,5.0,1,5,8,1500.0,1500.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.29363636363636364,0.4047619047619047,0.314,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2003-08-16,Fulham,Middlesbrough,3,2,2,1,1,1,17,8,18,16,7,6,1,1,0,0,2.3,3.25,2.8,2.1,3.1,3.0,2.3,3.2,2.62,1,5,8,1500.0,1500.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.8214285714285714,0.7000000000000001,0.8778625954198472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-08-16,Leicester,Southampton,2,2,1,2,0,2,12,13,27,15,2,7,3,1,0,0,2.5,3.2,2.6,2.2,3.1,2.8,2.3,3.2,2.62,1,5,8,1500.0,1500.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.9615384615384615,0.7857142857142858,0.8778625954198472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2003-08-16,Man United,Bolton,4,0,2,1,0,2,13,15,12,8,8,4,0,4,0,0,1.286,4.5,10.0,1.3,4.2,8.0,1.22,5.0,9.5,1,5,8,1500.0,1500.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.1286,0.1625,0.12842105263157894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-08-16,Portsmouth,Aston Villa,2,1,2,1,0,2,4,9,18,22,7,9,2,1,0,1,2.375,3.25,2.75,2.4,3.0,2.6,2.3,3.2,2.62,1,5,8,1500.0,1500.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.8636363636363636,0.923076923076923,0.8778625954198472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-08-17,Charlton,Man City,0,3,0,0,2,0,10,14,12,16,4,7,2,1,1,0,2.25,3.4,2.75,2.1,3.1,3.0,2.37,3.3,2.5,1,6,8,1500.0,1500.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.8181818181818182,0.7000000000000001,0.9480000000000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-08-17,Leeds,Newcastle,2,2,1,1,1,1,8,19,19,16,4,8,4,2,0,0,2.75,3.25,2.375,2.7,3.0,2.3,3.0,3.2,2.1,1,6,8,1500.0,1500.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1.1578947368421053,1.173913043478261,1.4285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-08-17,Liverpool,Chelsea,1,2,0,0,1,0,12,10,13,12,8,6,3,1,0,0,2.25,3.25,2.875,2.3,3.0,2.7,2.3,3.0,2.8,1,6,8,1500.0,1500.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.782608695652174,0.8518518518518517,0.8214285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-08-23,Wolves,Charlton,0,4,0,0,4,0,10,8,11,7,5,2,2,1,0,1,2.375,3.25,2.7,2.2,3.0,2.9,2.25,3.1,2.8,1,5,8,1487.1987000039423,1492.8012999960577,1,0,5,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,1,1,0.8796296296296295,0.7586206896551725,0.8035714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-08-23,Tottenham,Leeds,2,1,2,1,1,1,20,5,14,14,6,0,1,2,0,0,2.0,3.25,3.4,2.0,3.1,3.2,2.1,3.2,3.0,1,5,8,1487.1987000039423,1502.8012999960577,0,2,1,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,1,0,0.5882352941176471,0.625,0.7000000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-08-23,Newcastle,Man United,1,2,0,1,0,2,7,11,18,14,2,4,2,2,0,0,3.0,3.2,2.2,3.1,3.0,2.1,2.87,3.1,2.2,1,5,8,1497.1987000039423,1512.8012999960577,2,4,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,1,0,0,1.3636363636363635,1.4761904761904763,1.3045454545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-08-23,Southampton,Birmingham,0,0,1,0,0,1,14,12,15,19,2,7,3,1,0,0,1.909,3.25,3.75,1.9,3.1,3.5,1.9,3.2,3.5,1,5,8,1497.1987000039423,1512.8012999960577,2,1,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,1,0,0,0.5090666666666667,0.5428571428571428,0.5428571428571428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-08-23,Everton,Fulham,3,1,2,3,0,2,10,23,15,14,4,10,2,4,0,0,1.8,3.4,4.0,1.8,3.1,3.8,1.72,3.4,4.0,1,5,8,1487.1987000039423,1512.8012999960577,1,3,2,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,1,1,0,0.45,0.4736842105263158,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-08-23,Chelsea,Leicester,2,1,2,2,1,2,17,5,12,18,7,2,0,3,1,2,1.25,5.0,10.0,1.25,4.5,9.0,1.22,5.0,9.5,1,5,8,1507.1987000039423,1502.8012999960577,2,2,1,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,1,0,0,0,0.125,0.1388888888888889,0.12842105263157894,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-08-23,Bolton,Blackburn,2,2,1,2,0,2,16,10,11,15,9,2,2,4,0,1,2.5,3.3,2.5,2.4,3.0,2.6,2.5,3.1,2.5,1,5,8,1487.1987000039423,1512.8012999960577,0,5,4,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,1,1,0,1.0,0.923076923076923,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-08-23,Man City,Portsmouth,1,1,1,0,1,0,21,4,8,22,11,7,2,3,0,0,1.667,3.6,4.5,1.65,3.3,4.4,1.66,3.4,4.33,1,5,8,1507.1987000039423,1512.8012999960577,3,2,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,1,1,0,0,0.37044444444444447,0.37499999999999994,0.3833718244803695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-08-24,Aston Villa,Liverpool,0,0,1,0,0,1,14,15,16,7,8,9,0,1,0,0,3.0,3.2,2.2,3.1,3.0,2.1,3.1,3.1,2.1,1,6,8,1487.1987000039423,1492.8012999960577,1,1,2,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,1,1,1.3636363636363635,1.4761904761904763,1.4761904761904763,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-08-24,Middlesbrough,Arsenal,0,4,0,0,3,0,10,14,11,7,3,5,1,0,0,0,4.0,3.4,1.8,3.8,3.1,1.8,4.2,3.25,1.72,1,6,8,1487.1987000039423,1512.8012999960577,2,2,3,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,1,1,0,2.2222222222222223,2.111111111111111,2.4418604651162794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-08-25,Blackburn,Man City,2,3,0,1,1,1,14,13,14,10,9,0,2,1,0,0,2.0,3.25,3.4,1.85,3.1,3.6,2.0,3.2,3.2,1,0,8,1509.3358366874975,1510.1479205774972,7,4,3,1,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0,1.0,1.0,1,1,0,0,0.5882352941176471,0.513888888888889,0.625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-08-26,Portsmouth,Bolton,4,0,2,0,0,1,13,13,12,14,0,4,2,4,0,0,2.1,3.25,3.2,2.2,3.0,2.9,2.0,3.2,3.2,1,1,8,1509.8520794225028,1490.6641633125025,3,2,2,6,1.0,0.0,1.0,0.0,0,0.0,0.0,0,0,1.0,0.0,1,0,0,1,0.65625,0.7586206896551725,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-08-26,Leicester,Middlesbrough,0,0,1,0,0,1,12,13,17,16,6,4,3,2,0,0,2.5,3.2,2.6,2.3,3.0,2.7,2.37,3.1,2.62,1,1,8,1490.1170439834336,1480.6641633125025,3,2,4,7,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,1,2,0.9615384615384615,0.8518518518518517,0.9045801526717557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-08-26,Leeds,Southampton,0,0,1,0,0,1,15,14,10,11,6,10,2,3,0,0,2.0,3.25,3.4,1.9,3.1,3.5,2.0,3.2,3.2,1,1,8,1489.59157410193,1500.40842589807,3,2,4,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,1,0,0.5882352941176471,0.5428571428571428,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2003-08-26,Charlton,Everton,2,2,1,1,1,1,10,13,8,8,6,8,1,1,0,0,2.375,3.2,2.75,2.2,3.0,2.9,2.4,3.1,2.6,1,1,8,1499.8520794225028,1500.6641633125025,4,4,3,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,1,1,0,0,0.8636363636363636,0.7586206896551725,0.923076923076923,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-08-27,Arsenal,Aston Villa,2,0,2,0,0,1,14,6,16,16,2,6,3,4,0,0,1.286,5.0,8.5,1.3,4.2,8.0,1.28,4.5,8.0,1,2,8,1519.3358366874975,1490.1479205774972,6,1,1,2,1.0,0.0,1.0,0.0,0,0.0,0.0,0,0,1.0,0.0,2,0,0,1,0.15129411764705883,0.1625,0.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
