Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,IWH,IWD,IWA,WHH,WHD,WHA,Season,MatchDayOfWeek,MatchMonth,HomeElo,AwayElo,HomeTeamGoalsCurrentSeason,AwayTeamGoalsCurrentSeason,HomeTeamGoalsConcededCurrentSeason,AwayTeamGoalsConcededCurrentSeason,HomeWinRateHistorical,AwayWinRateHistorical,HomeWinRateSeason,AwayWinRateSeason,HeadToHeadMatches,HeadToHeadHomeWinRate,HeadToHeadAwayWinRate,HeadToHeadHomeGoals,HeadToHeadAwayGoals,HomeGoalsLast5Matches,AwayGoalsLast5Matches,HomeWinningStreakCurrentSeason,AwayWinningStreakCurrentSeason,HomeLosingStreakCurrentSeason,AwayLosingStreakCurrentSeason,OddsRatioHomeAwayB365,OddsRatioHomeAwayIWD,OddsRatioHomeAwayWH,HomeTeam_Ascoli,HomeTeam_Atalanta,HomeTeam_Bari,HomeTeam_Benevento,HomeTeam_Bologna,HomeTeam_Brescia,HomeTeam_Cagliari,HomeTeam_Carpi,HomeTeam_Catania,HomeTeam_Cesena,HomeTeam_Chievo,HomeTeam_Cremonese,HomeTeam_Crotone,HomeTeam_Empoli,HomeTeam_Fiorentina,HomeTeam_Frosinone,HomeTeam_Genoa,HomeTeam_Inter,HomeTeam_Juventus,HomeTeam_Lazio,HomeTeam_Lecce,HomeTeam_Livorno,HomeTeam_Messina,HomeTeam_Milan,HomeTeam_Monza,HomeTeam_Napoli,HomeTeam_Novara,HomeTeam_Palermo,HomeTeam_Parma,HomeTeam_Pescara,HomeTeam_Reggina,HomeTeam_Roma,HomeTeam_Salernitana,HomeTeam_Sampdoria,HomeTeam_Sassuolo,HomeTeam_Siena,HomeTeam_Spal,HomeTeam_Spezia,HomeTeam_Torino,HomeTeam_Treviso,HomeTeam_Udinese,HomeTeam_Venezia,HomeTeam_Verona,AwayTeam_Ascoli,AwayTeam_Atalanta,AwayTeam_Bari,AwayTeam_Benevento,AwayTeam_Bologna,AwayTeam_Brescia,AwayTeam_Cagliari,AwayTeam_Carpi,AwayTeam_Catania,AwayTeam_Cesena,AwayTeam_Chievo,AwayTeam_Cremonese,AwayTeam_Crotone,AwayTeam_Empoli,AwayTeam_Fiorentina,AwayTeam_Frosinone,AwayTeam_Genoa,AwayTeam_Inter,AwayTeam_Juventus,AwayTeam_Lazio,AwayTeam_Lecce,AwayTeam_Livorno,AwayTeam_Messina,AwayTeam_Milan,AwayTeam_Monza,AwayTeam_Napoli,AwayTeam_Novara,AwayTeam_Palermo,AwayTeam_Parma,AwayTeam_Pescara,AwayTeam_Reggina,AwayTeam_Roma,AwayTeam_Salernitana,AwayTeam_Sampdoria,AwayTeam_Sassuolo,AwayTeam_Siena,AwayTeam_Spal,AwayTeam_Spezia,AwayTeam_Torino,AwayTeam_Treviso,AwayTeam_Udinese,AwayTeam_Venezia,AwayTeam_Verona
2005-08-27,Fiorentina,Sampdoria,2,1,2,2,0,2,15,9,18,23,9,3,1,4,0,0,2.2,2.87,3.25,2.2,2.8,3.1,2.25,2.87,3.0,1,5,8,1500.0,1500.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.676923076923077,0.7096774193548387,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2005-08-27,Livorno,Lecce,2,1,2,1,1,1,17,6,27,21,9,2,2,3,0,0,1.9,2.9,4.0,1.9,3.0,3.6,1.9,2.87,4.0,1,5,8,1500.0,1500.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.475,0.5277777777777778,0.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-08-28,Ascoli,Milan,1,1,1,0,0,1,8,16,22,16,0,5,2,1,0,0,7.5,3.75,1.4,6.5,3.7,1.4,8.0,3.75,1.36,1,6,8,1500.0,1500.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,5.357142857142858,4.642857142857143,5.88235294117647,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-08-28,Inter,Treviso,3,0,2,1,0,2,16,7,13,20,6,1,1,3,0,0,1.16,5.5,13.0,1.17,5.5,11.0,1.16,5.0,15.0,1,6,8,1500.0,1500.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.08923076923076922,0.10636363636363635,0.07733333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2005-08-28,Juventus,Chievo,1,0,2,1,0,2,16,2,16,12,6,2,1,2,0,0,1.25,5.0,13.0,1.2,5.0,10.0,1.22,5.0,9.5,1,6,8,1500.0,1500.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.09615384615384616,0.12,0.12842105263157894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-08-28,Lazio,Messina,1,0,2,1,0,2,7,16,18,20,6,10,3,1,0,0,1.9,3.1,3.75,1.9,3.0,3.6,1.83,3.0,4.0,1,6,8,1500.0,1500.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.5066666666666666,0.5277777777777778,0.4575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-08-28,Parma,Palermo,1,1,1,0,1,0,8,14,18,9,3,8,3,0,0,0,2.4,2.87,2.87,2.4,2.8,2.8,2.3,2.8,3.0,1,6,8,1500.0,1500.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.8362369337979093,0.8571428571428572,0.7666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-08-28,Reggina,Roma,0,3,0,0,1,0,5,13,19,18,2,4,0,0,1,0,3.5,3.0,2.0,3.6,2.8,2.0,3.6,2.87,2.0,1,6,8,1500.0,1500.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1.75,1.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2005-08-28,Siena,Cagliari,2,1,2,1,1,1,10,9,21,19,4,4,2,2,1,0,2.2,3.0,3.1,2.1,2.8,3.3,2.2,2.87,3.1,1,6,8,1500.0,1500.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.7096774193548387,0.6363636363636365,0.7096774193548387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-08-28,Udinese,Empoli,1,0,2,1,0,2,12,8,20,12,6,5,2,1,0,0,1.57,3.25,6.0,1.55,3.4,5.0,1.53,3.5,5.5,1,6,8,1500.0,1500.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.26166666666666666,0.31,0.2781818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
